"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","6.4714244635198E-05","No"
"0x00000000af5a61acaf76190794e3fdf1289288a1","0.0294165698935023","No"
"0x00000000b1786c9698c160d78232c78d6f6474fe","0.0934254046910987","No"
"0x0000e6c3e014e843a48ee4594f194fd3b64ab8e8","0.34891637","No"
"0x0005c413d510dd669db75f065d79b68f26b3aa87","2.3578705","No"
"0x0006157838d5a6b33ab66588a6a693a57c869999","0.4242","No"
"0x0006f15ca3b5753ec286bd61c548a7dffa3e68fa","38","No"
"0x00078ca916b9f7f419e80446fa4d885839369871","71.61","No"
"0x0008330b1db54b3b3150c50a361805c05626044c","3729.67472006","No"
"0x000c80fa7a229d3fc5f0ba27e1af0cd7c0f7777b","40.8891452862972","No"
"0x000db381f8e1bbe28eb2b6ee8204fa301dd7ef5b","200","No"
"0x000e8c608473dcee93021eb1d39fb4a7d7e7d780","4000.00231158273","No"
"0x000f500d79e91273a6cc580d02e8ec0b8e8687b4","3566.0264075","No"
"0x001317ca6f52dfc1abdbf9f8466d670f60c5e182","45.47153247","No"
"0x001399174fb7f9cec9e0613786766785f988c419","4.20627439","No"
"0x0013ef77b6c3d866fee42aa9faf57ed740374a2d","4.249E-05","No"
"0x0016f42589ff3b9c3cafd282b79332207b5e2aab","20","No"
"0x00193ec6824f316c1497470aad12c308a5aee9ec","20","No"
"0x001969d64ba9cc3973e6f4d692aaf27cd7d73e1a","19.91030418","No"
"0x001993eb037390a2f4ca99014526636590a69b2c","87.99998333","No"
"0x001aa2eb5e8c7a8bf7be15ca1b47b9037d9798ee","50.03282695","No"
"0x001ab5f2e70a160bcdfa047070f9659fbdd3103e","472.9028804","No"
"0x001c3fbefdad71e1ddf00c8107f8c1a87ffc25cd","91.7","No"
"0x001df30a019a9b12f61eb47dc82ab1bd59bbeee3","605.765315828991","No"
"0x0020375ae0e049e9152f2110770b3453fa2d9a0a","17","No"
"0x002084073c2f4c905c377fe84bd73ed920623e29","18","No"
"0x0020e22542da538abb66b26ffc26cd1391292a1d","31.6","No"
"0x0021179e1094b441f0b38a4756c48005d57b449f","5.42323019","No"
"0x0023d384abd5a924be14a99d591c2493c3c4e4b6","156.98","No"
"0x00241cefc55fb52893a44751c01e79e843c6a90b","100","No"
"0x00243e96fd0fdcbb6e7966b8cafb337c88a31169","9000.01","No"
"0x002471c86e9e97d393d84bddfa7d555a7fa2917a","2.25476425183015","No"
"0x0026959e2c16db938310f37a3e5d06a2cebdbe70","6.7209566","No"
"0x00272000722b4292cd331955a2783540facb8ab8","16.26","No"
"0x0027f9b95175c23ce6622feaa37e2fd52c123257","343.5460383","No"
"0x0029ab135b5be72168bf80f140d60a9264dbd0c5","0.01","No"
"0x002d2715b179d0db3e17cc28317a98f2f65e6884","18.8350274488616","No"
"0x002e6d0eb7c7494ed842cd6cc5e792e230938e8d","45.9614046","No"
"0x00319443d959652af9619c4a095e946467881014","7.331536388E-09","No"
"0x00325494756d919223d7c51bc2c237cdd37ab377","4000","No"
"0x0035d22f7a61e35dc3318bc1454f53d255ae9c2a","23.184","No"
"0x0037906af9cf812671abedefe3aab8331369ff02","186.34924928","No"
"0x0037db3f407e9e56907512757c6088ab214d50c1","64.05404","No"
"0x0037f3deb586d1b34abaae92341f9bb70527a4d4","8669.70655796262","No"
"0x0038f3843c67080c93489a5a77f0598f100bc210","0.001","No"
"0x00390585d799cc0bbe21838c0a3f0fe7831240c7","0.99","No"
"0x003933989385fab554623d558523cfd23cea8503","0.00466697545098327","No"
"0x003bc73912121aafa184cd94ae287cdf71f2374d","188.7","No"
"0x003c572bcd5bfdb8cb837f9a9ab0caffa769a9d1","12.15454514","No"
"0x003d34b15e323c8f5c52697313f5a3301942846d","2.048E-14","No"
"0x003d602fa6599317bd91d46a3be59cc4328cc49f","12.4672544","No"
"0x003d621e72caa89047749120686cbb9e6e4446dc","96.08065587","No"
"0x003de942fac839a00994071b4a38a8f010fc103f","2698.7","No"
"0x003e790f508f8d1f87e8bf1ef60bcf1884601874","3.05","No"
"0x003fd86eb7ac851ba896c5c49e1ca99391ac9717","2.98","No"
"0x0040d6e5dd261510759457ca33a992e6a6d7ae70","14.6868906","No"
"0x004225f60e5990e05cef3e2ed7de5ea3ca4d9f0b","9.95315272","No"
"0x004240795b54c0f37138cf7de89d19b43ff1b616","1","No"
"0x0044742729f3eee9b1dcb09098943fef383627cf","5.89799566","No"
"0x004525a4deee5574c640118dcef728a879b6d1c4","11.40302293","No"
"0x0045820c1abfcbf8435722a4658415df3193a5d9","68.7","No"
"0x0047904597df10d8b17ccefae6a7ca9b1ed34ded","101.99","No"
"0x0047e5bb93e5494e03ec6d84f8532a0faad4d2cd","9.384","No"
"0x0048e848c17f29daf066dc0bf4770e3f94ca7602","0.00471523034480888","No"
"0x0049b0a2359c93f1d072fee0ed49e3c137ec0efc","0.28086583","No"
"0x004ae0e4435993f2e07dbdb3d32dafc78e36c7e5","19.2135834863688","No"
"0x004c692b4cf48cadd15ae10c5875b6fb8b5fcc69","9.96853507","No"
"0x004e5597bd374b496862bc575038dc5a8a71e452","4.096E-15","No"
"0x004ef9a42eb2b7d14da8fb84f432d50f1ff67136","419.393705988484","No"
"0x004f48741307e356f9c24cb1b6e00d5ce1f917da","2500","No"
"0x00502dd61ed5a5b54803cc3ff656a44fbea8131a","5000","No"
"0x00511e9f560cb1669117690e3e688960f9f44e9c","500","No"
"0x005252a5253d50cea954e66d582399d7c201568e","69.38594229","No"
"0x00540a04187de7e2e0081c1481c3fea42575425c","0.81682618","No"
"0x0055e75217ca5cb5aa8290cd966f9d85751a7993","896.049310092008","No"
"0x00570c8f0d887c362ff7f03978d5d283c51f7bb8","599.65","No"
"0x0057478257dde3bb2c04088688a1f5e38fb2f740","1","No"
"0x005a0a1d7d68fdd7a3d7613b5f1b4c55061a6e47","61.24","No"
"0x005b09c3150d873ee317b8ce62460b3772cf3945","11.2912434343036","No"
"0x005c4927865c8c84d52af19e5690d8b29066b999","999.99","No"
"0x005c9a84780b34500bf2b90d7ccde5e060a49ad4","98.7","No"
"0x005d64b3fedd6d53edf19142087d51c7ac6ba595","5512.47695800031","No"
"0x005deda87465b3d1520f55eb958e605b3f14d5ff","9.78187795","No"
"0x005f02ed75b0d8ec57a8147e9d30539ca81dc435","0.66232512","No"
"0x006004ffa18e3cf78fa3b50393ec44c1ab89cf6c","7.2003170500298E-05","No"
"0x00608e3ded9e953f29a70476bfb7ff57de04ab88","2.65","No"
"0x0062fb72d128699a70afdad4b7bafb2cde128913","193.6354939","No"
"0x00650a9b49fe958bd0166c53f499faa48c88b014","50.605","No"
"0x0065f8a90933fc7954e743ba2282d6d3ace65770","71.23010179","No"
"0x0066fe769c7524d124f8467998579195a9b5b6a8","9.1944552877204","No"
"0x0067034bdf7c7208f794784121d6b296a79fa109","10.0245718164713","No"
"0x00690a2f17cd7fcf3737e6c0cbd3e8f0d549bbfe","43.22782795","No"
"0x006b3ac5b5fe0715ff9216642fb6c7ce6a422c7d","109.98","No"
"0x006e5fb1037b26d0cb7d13838a9e61fd8904e7cd","0.461495","No"
"0x00723249fcd81fe530bf7a49ca35405275170918","39.4001","No"
"0x00738b52cfee17566ab2e361a5c2dd075df71091","15.72327044","No"
"0x0073d543131b7fab442374da7965b358b4502872","10","No"
"0x0075ba31e0f637fa00f95a214b2d7f8d7a853625","17.95","No"
"0x0075d04a4eb6fe4adeb1dc2ff30e7b81b77fa32e","238.19958601","No"
"0x007700fcb5e3faaf1425a0ec5508fcc65dc1d4a0","0.20984879","No"
"0x00799bbc833d5b168f0410312d2a8fd9e0e3079c","53.68873363","No"
"0x007a38f5d73ddf4f73facf960cdc8b2a6551b1a3","4.92E-05","No"
"0x007bb0518b03f1a8c00e9bb545640800d1e91444","344.07865575","No"
"0x007bbec99cd6239923f4667998b8a47204eb0cd2","0.0981848669500913","No"
"0x007c32b21c96fbf91ef98cc8696ce05ed1a94820","50.2460461","No"
"0x007c6e5425e9af288a1760c04efe64beae153942","5300","No"
"0x007cbb01a3dd8833cc5e9e36c49e5ad343c8f7bc","502.008","No"
"0x007e444b28edab8ffe44cd7472b521bbccf34710","0.7","No"
"0x0080f23f9b995b63a4a6dc101ec87f1f060b424a","115.988127617813","No"
"0x008325642a5ab2d088b740e014bfd6138b22d6e9","239.314442797359","No"
"0x008442e4f90598022a3236ec8faeedc51334f396","100.7","No"
"0x008809c5b8aa7d8a50a3bb150e4849c38776437b","29.398627","No"
"0x0088d260e928e4febd3b9ca7dab2562a36a86b9b","63.6159065755879","No"
"0x008922d959ec2883afcd5db88bcb01dcd2155a39","8.43363045","No"
"0x008932be50098089c6a075d35f4b5182ee549f8a","91.4868","No"
"0x008af8e6f756fea99dffff3e34bfd9a34bbcc0d9","0.1","No"
"0x008dd50605f5d34e7eed0a0212a65f78156e3a63","221.39692945","No"
"0x0092bcbcc04b1e3003222c8f1f522bd142a19dbf","999.99","No"
"0x0093e5f2a850268c0ca3093c7ea53731296487eb","152.84","No"
"0x009448298b7aa671680c3e7e3387a7b1f7725254","0.58466127","No"
"0x00948c3cfad9e4e73409cdd020d72570785d6e3e","10.01748779","No"
"0x00957bad0addf2aba6ccac13335030b8ee5f0cb3","23.39465997","No"
"0x0096b8a6b4ba70b401c85365f9b2c8dcc58f0fb4","1400","No"
"0x0098bcf01a173fb8f0a40b94aaca97a099ed4772","0.45987798","No"
"0x009acfd91cbc14f7fa3561344040caf70751a615","500","No"
"0x009e12bf4948bce98a85aa9c5ccb7aac2d9fbec5","1.0912","No"
"0x009ec7d76febecabd5c73cb13f6d0fb83e45d450","306.659398141194","No"
"0x009f92898aa1208c8884320b6372ce20740649c6","3365","No"
"0x00a015578a5adda97d49ef637a0a60c5f582dc87","243.27","No"
"0x00a1ab4a7f2af52f15bb2e10248c1f80da77e833","5","No"
"0x00a302682055c5044d404b6bd4af6cd5830eb1a5","5000","No"
"0x00a384ecacd74e4513e7b8ef8ff3d1b781a037e4","56.56431901","No"
"0x00a3cce0ea1bccd99047aa9e1553188925ce3689","8.28048313263E-07","No"
"0x00a3deca6e7aab583c5adf5432ce53c39abca61a","26.4813485","No"
"0x00a4373ac03649d5585e463817bacdc1a50489ed","0.0001","No"
"0x00a4ceceef89a949afa2ce10c73ed5f0d79dfb3c","18.88935134","No"
"0x00a6cb996b78307656208d98e128fa0a8ea1540c","5.429E-05","No"
"0x00a6e159c62edbf194bae481e4e68c6f8b57d9cd","77.8812252","No"
"0x00a70a9938daacd28903416a21a6b4e39a4b0614","4.23626409","No"
"0x00a7a3bb5cb367a95371522a9dc6d3d7231aebf6","17.72089444","No"
"0x00a7fe7c9f394cf9a1fed84c135aa4cff02f64d4","20.80539857","No"
"0x00a839de7922491683f547a67795204763ff8237","0.0352116988369566","No"
"0x00a8ce5da7b71f77daa8921212cd70aec21941d2","44.06506713","No"
"0x00a98b7650c5cda368c20d8593c12da085b357bc","98.46515","No"
"0x00aa6538c4a86c40ad3d80055d2c385c5fff8e1e","324.65","No"
"0x00aa86adaf21ef19a92a325efe894d5c726a0735","30.14703099","No"
"0x00ab2ab70a0238d008418367187aabf80b214b8c","35.85578966","No"
"0x00aca62d0fc4547e600ea283edc42549548f29bc","19.72074169","No"
"0x00acfc62b5eb542d87b0ffa64bea216a288c2a24","557.89866","No"
"0x00ad42fd2ccf48df439b2522a0b872f098327873","78.7","No"
"0x00ae252041cc9320e882b6d8e086f723a1a70a45","100","No"
"0x00aed123830ab4726ec46fd8f0954eda0a480b01","1","No"
"0x00b0dfd5829063eb1e94d9376a62fa17ed9f7e54","95.8","No"
"0x00b1e7612ee8eb178b6ad7e836e06d358c678021","9.999999999E-07","No"
"0x00b3a1c7511036de8427d5f2430b12c58f64b071","1.88965598","No"
"0x00b873994e793c519f3ac4343223b8612522d1d8","10849","No"
"0x00bb11a3eb1706bc8c453b785e9c60787aa8bbe3","2.99","No"
"0x00bc341854c9ea74bd57e5919dc164195951ace2","32.32299568","No"
"0x00bf4c9e193ffe10c3ee5353056420c19b78a45b","99.65","No"
"0x00c0a43bf2f1f1c716ddef9204b4832da01d4c87","0.1","No"
"0x00c1f2725a34773c0a0824a269e2ed4bf5faf1be","1000","No"
"0x00c2456a2893683f4725356889efe1757ded6683","4.75984748","No"
"0x00c683fe8639a3195bc1cb2497cf911909040ad1","1.83E-16","No"
"0x00c88d738591fb54a1a88be82eb076483d372dce","26.22819516018","No"
"0x00c8d8201c5686e355bf5957902938bfc7c61376","90.82480424","No"
"0x00c9d25ad967b5b5e35584783efb037b19af4c39","30.57124128","No"
"0x00ce008a93dad443c7a313fa81d0698e16e43f24","400.96","No"
"0x00ce1977a8041cc1365b6ef59877d5ab7c759065","10.1888949","No"
"0x00d18ca9782be1caef611017c2fbc1a39779a57c","10.0223179621447","No"
"0x00d1ce825dacbcb6789e2d5fb1873a7178312abc","679.683079025738","No"
"0x00d2e45938811353506a12cb7a0bde2a50e0947b","0.871669829382741","No"
